Mvir[M_sun/h] sigma(M,0) D(z) D(z_f,peak) c_vir
4.552000e+12 1.685137 1.000000 0.614823 9.294064
4.542000e+12 1.685747 1.000000 0.614763 9.296145
4.532000e+12 1.686358 1.000000 0.614702 9.298228
4.515000e+12 1.687400 1.000000 0.614598 9.301780
4.511000e+12 1.687646 1.000000 0.614574 9.302619
4.511000e+12 1.687646 1.000000 0.614574 9.302619
4.511000e+12 1.687646 1.000000 0.614574 9.302619
4.505000e+12 1.688015 1.000000 0.614537 9.303877
4.501000e+12 1.688261 1.000000 0.614513 9.304715
4.499000e+12 1.688385 1.000000 0.614501 9.305138
4.492000e+12 1.688817 1.000000 0.614458 9.306610
4.486000e+12 1.689187 1.000000 0.614421 9.307871
4.480000e+12 1.689559 1.000000 0.614384 9.309139
4.480000e+12 1.689559 1.000000 0.614384 9.309139
4.470000e+12 1.690179 1.000000 0.614323 9.311252
4.445000e+12 1.691736 1.000000 0.614168 9.316556
4.435000e+12 1.692362 1.000000 0.614106 9.318689
4.426000e+12 1.692926 1.000000 0.614051 9.320610
4.422000e+12 1.693177 1.000000 0.614026 9.321465
4.410000e+12 1.693932 1.000000 0.613951 9.324036
4.408000e+12 1.694058 1.000000 0.613938 9.324465
4.399000e+12 1.694626 1.000000 0.613882 9.326399
4.397000e+12 1.694752 1.000000 0.613870 9.326828
4.387000e+12 1.695385 1.000000 0.613807 9.328983
4.385000e+12 1.695512 1.000000 0.613795 9.329416
