# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
2.436000e-01 8.686050 8.686065 0.000 1.000000 0.366130 0.992870 0.990114 26.565319 73.812186 73.596555 0.000000e+00
2.330000e-01 8.686051 8.686066 0.000 1.000000 0.366097 0.992870 0.990284 26.562988 73.812195 73.609883 0.000000e+00
2.228000e-01 8.686052 8.686067 0.000 1.000000 0.366064 0.992870 0.990284 26.560655 73.812204 73.609892 0.000000e+00
2.130000e-01 8.686053 8.686067 0.000 1.000000 0.366032 0.993110 0.990458 26.558323 73.830999 73.623465 0.000000e+00
2.037000e-01 8.686054 8.686068 0.000 1.000000 0.365999 0.993110 0.990635 26.556021 73.831008 73.637297 0.000000e+00
1.948000e-01 8.686055 8.686069 0.000 1.000000 0.365967 0.993110 0.990635 26.553730 73.831017 73.637306 0.000000e+00
1.863000e-01 8.686056 8.686069 0.000 1.000000 0.365935 0.993359 0.990815 26.551454 73.850505 73.651412 0.000000e+00
1.781000e-01 8.686057 8.686070 0.000 1.000000 0.365904 0.993359 0.990999 26.549170 73.850514 73.665809 0.000000e+00
1.703000e-01 8.686058 8.686071 0.000 1.000000 0.365872 0.993359 0.990999 26.546910 73.850523 73.665817 0.000000e+00
1.629000e-01 8.686059 8.686071 0.000 1.000000 0.365841 0.993618 0.991186 26.544680 73.870787 73.680523 0.000000e+00
1.557000e-01 8.686060 8.686072 0.000 1.000000 0.365809 0.993618 0.991379 26.542423 73.870796 73.695557 0.000000e+00
1.489000e-01 8.686061 8.686072 0.000 1.000000 0.365778 0.993888 0.991575 26.540206 73.891935 73.710943 0.000000e+00
1.424000e-01 8.686062 8.686073 0.000 1.000000 0.365747 0.993888 0.991575 26.538002 73.891944 73.710952 0.000000e+00
1.362000e-01 8.686063 8.686073 0.000 1.000000 0.365717 0.994171 0.991776 26.535815 73.914080 73.726715 0.000000e+00
1.302000e-01 8.686064 8.686074 0.000 1.000000 0.365686 0.994171 0.991983 26.533613 73.914089 73.742884 0.000000e+00
1.245000e-01 8.686065 8.686074 0.000 1.000000 0.365655 0.994469 0.992195 26.531438 73.937376 73.759492 0.000000e+00
1.191000e-01 8.686065 8.686075 0.000 1.000000 0.365625 0.994171 0.991983 26.529292 73.914098 73.742893 0.000000e+00
1.138000e-01 8.686066 8.686076 0.000 1.000000 0.365595 0.994171 0.992195 26.527103 73.914107 73.759501 0.000000e+00
1.089000e-01 8.686067 8.686076 0.000 1.000000 0.365565 0.994469 0.992413 26.524998 73.937394 73.776585 0.000000e+00
1.041000e-01 8.686068 8.686076 0.000 1.000000 0.365535 0.994783 0.992638 26.522854 73.962031 73.794186 0.000000e+00
9.954000e-02 8.686068 8.686077 0.000 1.000000 0.365505 0.994469 0.992638 26.520732 73.937403 73.794186 0.000000e+00
9.519000e-02 8.686069 8.686077 0.000 1.000000 0.365476 0.994783 0.992638 26.518630 73.962040 73.794195 0.000000e+00
9.102000e-02 8.686070 8.686078 0.000 1.000000 0.365447 0.994783 0.992870 26.516534 73.962049 73.812364 0.000000e+00
8.704000e-02 8.686070 8.686078 0.000 1.000000 0.365417 0.994783 0.992870 26.514449 73.962049 73.812364 0.000000e+00
8.323000e-02 8.686071 8.686078 0.000 1.000000 0.365388 0.995118 0.993110 26.512377 73.988297 73.831159 0.000000e+00
7.958000e-02 8.686072 8.686079 0.000 1.000000 0.365360 0.995118 0.993110 26.510312 73.988306 73.831168 0.000000e+00
7.610000e-02 8.686072 8.686079 0.000 1.000000 0.365331 0.995118 0.993110 26.508261 73.988306 73.831168 0.000000e+00
7.277000e-02 8.686073 8.686079 0.000 1.000000 0.365302 0.995479 0.993359 26.506222 74.016526 73.850657 0.000000e+00
6.958000e-02 8.686073 8.686080 0.000 1.000000 0.365274 0.995118 0.993359 26.504188 73.988315 73.850657 0.000000e+00
6.654000e-02 8.686074 8.686080 0.000 1.000000 0.365246 0.995479 0.993618 26.502175 74.016535 73.870921 0.000000e+00
6.363000e-02 8.686074 8.686081 0.000 1.000000 0.365218 0.995118 0.993618 26.500167 73.988324 73.870921 0.000000e+00
6.084000e-02 8.686075 8.686081 0.000 1.000000 0.365190 0.995479 0.993888 26.498168 74.016544 73.892060 0.000000e+00
5.818000e-02 8.686075 8.686081 0.000 1.000000 0.365162 0.995479 0.993888 26.496183 74.016544 73.892060 0.000000e+00
5.563000e-02 8.686076 8.686082 0.000 1.000000 0.365134 0.995479 0.993888 26.494206 74.016553 73.892069 0.000000e+00
5.320000e-02 8.686076 8.686082 0.000 1.000000 0.365107 0.995479 0.993888 26.492243 74.016553 73.892069 0.000000e+00
5.087000e-02 8.686077 8.686082 0.000 1.000000 0.365079 0.995871 0.994171 26.490289 74.047264 73.914205 0.000000e+00
4.864000e-02 8.686077 8.686082 0.000 1.000000 0.365052 0.995871 0.994171 26.488341 74.047264 73.914205 0.000000e+00
4.651000e-02 8.686077 8.686083 0.000 1.000000 0.365025 0.995479 0.994171 26.486405 74.016562 73.914205 0.000000e+00
4.448000e-02 8.686078 8.686083 0.000 1.000000 0.364998 0.995871 0.994468 26.484489 74.047273 73.937493 0.000000e+00
4.253000e-02 8.686078 8.686083 0.000 1.000000 0.364971 0.995871 0.994171 26.482571 74.047273 73.914214 0.000000e+00
4.067000e-02 8.686079 8.686083 0.000 1.000000 0.364945 0.996306 0.994468 26.480672 74.081272 73.937501 0.000000e+00
