Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.16M,0)
5.995000e+12 0.00 1.000000 1.595990 1.788880 2.128964
5.991000e+12 0.00 1.000000 1.596171 1.789071 2.129172
5.985000e+12 0.00 1.000000 1.596441 1.789357 2.129483
5.952000e+12 0.00 1.000000 1.597937 1.790940 2.131201
5.950000e+12 0.00 1.000000 1.598028 1.791036 2.131305
5.937000e+12 0.00 1.000000 1.598620 1.791662 2.131985
5.931000e+12 0.00 1.000000 1.598894 1.791952 2.132299
5.892000e+12 0.00 1.000000 1.600680 1.793841 2.134350
5.892000e+12 0.00 1.000000 1.600680 1.793841 2.134350
5.873000e+12 0.00 1.000000 1.601554 1.794766 2.135355
5.836000e+12 0.00 1.000000 1.603267 1.796577 2.137321
5.807000e+12 0.00 1.000000 1.604617 1.798006 2.138872
5.789000e+12 0.00 1.000000 1.605459 1.798896 2.139838
5.787000e+12 0.00 1.000000 1.605553 1.798995 2.139946
5.749000e+12 0.00 1.000000 1.607340 1.800886 2.141997
5.745000e+12 0.00 1.000000 1.607529 1.801085 2.142214
5.741000e+12 0.00 1.000000 1.607718 1.801285 2.142431
5.741000e+12 0.00 1.000000 1.607718 1.801285 2.142431
5.739000e+12 0.00 1.000000 1.607813 1.801385 2.142540
5.735000e+12 0.00 1.000000 1.608002 1.801585 2.142757
5.733000e+12 0.00 1.000000 1.608096 1.801686 2.142865
5.727000e+12 0.00 1.000000 1.608381 1.801986 2.143192
5.722000e+12 0.00 1.000000 1.608618 1.802237 2.143464
5.677000e+12 0.00 1.000000 1.610762 1.804504 2.145925
5.669000e+12 0.00 1.000000 1.611145 1.804910 2.146364
5.664000e+12 0.00 1.000000 1.611385 1.805163 2.146639
5.663000e+12 0.00 1.000000 1.611433 1.805214 2.146694
5.656000e+12 0.00 1.000000 1.611769 1.805569 2.147080
5.654000e+12 0.00 1.000000 1.611865 1.805671 2.147190
5.646000e+12 0.00 1.000000 1.612250 1.806078 2.147632
5.638000e+12 0.00 1.000000 1.612635 1.806485 2.148074
5.619000e+12 0.00 1.000000 1.613553 1.807456 2.149127
5.617000e+12 0.00 1.000000 1.613650 1.807558 2.149238
5.613000e+12 0.00 1.000000 1.613843 1.807763 2.149460
5.598000e+12 0.00 1.000000 1.614571 1.808532 2.150295
5.596000e+12 0.00 1.000000 1.614668 1.808635 2.150407
5.574000e+12 0.00 1.000000 1.615740 1.809768 2.151636
5.563000e+12 0.00 1.000000 1.616277 1.810336 2.152253
5.561000e+12 0.00 1.000000 1.616375 1.810440 2.152365
5.557000e+12 0.00 1.000000 1.616571 1.810647 2.152590
5.512000e+12 0.00 1.000000 1.618784 1.812987 2.155129
5.512000e+12 0.00 1.000000 1.618784 1.812987 2.155129
5.470000e+12 0.00 1.000000 1.620868 1.815190 2.157519
5.456000e+12 0.00 1.000000 1.621567 1.815929 2.158320
5.441000e+12 0.00 1.000000 1.622317 1.816722 2.159180
5.435000e+12 0.00 1.000000 1.622618 1.817040 2.159525
5.433000e+12 0.00 1.000000 1.622718 1.817146 2.159640
5.429000e+12 0.00 1.000000 1.622919 1.817359 2.159870
5.412000e+12 0.00 1.000000 1.623774 1.818263 2.160851
5.394000e+12 0.00 1.000000 1.624683 1.819223 2.161893
5.377000e+12 0.00 1.000000 1.625544 1.820134 2.162881
5.369000e+12 0.00 1.000000 1.625951 1.820563 2.163347
5.363000e+12 0.00 1.000000 1.626256 1.820886 2.163697
5.340000e+12 0.00 1.000000 1.627429 1.822126 2.165042
5.315000e+12 0.00 1.000000 1.628711 1.823481 2.166511
5.303000e+12 0.00 1.000000 1.629328 1.824134 2.167219
5.301000e+12 0.00 1.000000 1.629432 1.824243 2.167337
5.299000e+12 0.00 1.000000 1.629535 1.824352 2.167455
5.245000e+12 0.00 1.000000 1.632334 1.827311 2.170664
5.220000e+12 0.00 1.000000 1.633641 1.828692 2.172161
5.208000e+12 0.00 1.000000 1.634271 1.829358 2.172883
5.202000e+12 0.00 1.000000 1.634586 1.829691 2.173244
5.195000e+12 0.00 1.000000 1.634955 1.830080 2.173667
5.173000e+12 0.00 1.000000 1.636117 1.831308 2.174998
5.154000e+12 0.00 1.000000 1.637124 1.832373 2.176152
5.150000e+12 0.00 1.000000 1.637337 1.832598 2.176396
5.148000e+12 0.00 1.000000 1.637443 1.832710 2.176518
5.135000e+12 0.00 1.000000 1.638136 1.833442 2.177311
5.110000e+12 0.00 1.000000 1.639473 1.834855 2.178843
5.081000e+12 0.00 1.000000 1.641033 1.836504 2.180630
5.069000e+12 0.00 1.000000 1.641682 1.837189 2.181373
5.067000e+12 0.00 1.000000 1.641790 1.837303 2.181496
5.036000e+12 0.00 1.000000 1.643473 1.839082 2.183424
4.989000e+12 0.00 1.000000 1.646047 1.841801 2.186372
4.976000e+12 0.00 1.000000 1.646764 1.842558 2.187192
4.939000e+12 0.00 1.000000 1.648814 1.844725 2.189540
4.937000e+12 0.00 1.000000 1.648926 1.844842 2.189667
4.933000e+12 0.00 1.000000 1.649149 1.845078 2.189922
