# M[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
1.040000e+13 1.450544 1.634686 0.000 1.000000 0.634640 8.547244 9.882568 8.495365
1.035000e+13 1.451785 1.636005 0.000 1.000000 0.634489 8.551724 9.888807 8.499948
1.030000e+13 1.453034 1.637331 0.000 1.000000 0.634338 8.556236 9.895095 8.504567
1.021000e+13 1.455297 1.639735 0.000 1.000000 0.634064 8.564405 9.906477 8.512923
1.019000e+13 1.455803 1.640273 0.000 1.000000 0.634002 8.566231 9.909019 8.514792
9.979000e+12 1.461208 1.646013 0.000 1.000000 0.633349 8.585737 9.936204 8.534750
9.919000e+12 1.462767 1.647670 0.000 1.000000 0.633161 8.591360 9.944033 8.540499
9.727000e+12 1.467828 1.653045 0.000 1.000000 0.632553 8.609611 9.969469 8.559168
9.706000e+12 1.468388 1.653639 0.000 1.000000 0.632486 8.611629 9.972288 8.561234
9.683000e+12 1.469003 1.654292 0.000 1.000000 0.632412 8.613847 9.975379 8.563501
9.683000e+12 1.469003 1.654292 0.000 1.000000 0.632412 8.613847 9.975379 8.563501
9.667000e+12 1.469432 1.654748 0.000 1.000000 0.632361 8.615393 9.977532 8.565083
9.489000e+12 1.474255 1.659869 0.000 1.000000 0.631784 8.632775 10.001765 8.582857
9.483000e+12 1.474419 1.660043 0.000 1.000000 0.631765 8.633365 10.002590 8.583462
9.446000e+12 1.475435 1.661121 0.000 1.000000 0.631644 8.637026 10.007698 8.587208
9.394000e+12 1.476870 1.662644 0.000 1.000000 0.631473 8.642196 10.014910 8.592495
9.340000e+12 1.478369 1.664236 0.000 1.000000 0.631294 8.647595 10.022435 8.598013
9.233000e+12 1.481367 1.667419 0.000 1.000000 0.630938 8.658390 10.037488 8.609051
9.225000e+12 1.481593 1.667658 0.000 1.000000 0.630911 8.659204 10.038629 8.609885
9.214000e+12 1.481904 1.667988 0.000 1.000000 0.630874 8.660325 10.040192 8.611030
9.144000e+12 1.483891 1.670097 0.000 1.000000 0.630639 8.667478 10.050170 8.618345
8.985000e+12 1.488466 1.674952 0.000 1.000000 0.630098 8.683943 10.073143 8.635175
8.943000e+12 1.489689 1.676250 0.000 1.000000 0.629953 8.688343 10.079282 8.639673
8.937000e+12 1.489864 1.676436 0.000 1.000000 0.629933 8.688972 10.080159 8.640315
8.859000e+12 1.492154 1.678866 0.000 1.000000 0.629663 8.697209 10.091654 8.648734
